1|Anaheim Ducks|ANA|30|1054|932|107|206|2421|14|89|73|1|2007
2|Arizona Coyotes|ARI|44|1400|1567|266|188|3254|20|45|83|0|NULL
3|Boston Bruins|BOS|99|3373|2445|791|204|7741|76|338|345|6|2011
4|Buffalo Sabres|BUF|53|1889|1648|409|187|4374|29|124|132|0|NULL
5|Calgary Flames|CGY|51|1863|1555|379|181|4286|31|110|140|1|1989
6|Carolina Hurricanes|CAR|44|1481|1483|263|192|3417|18|91|99|1|2006
7|Chicago Blackhawks|CHI|97|2873|2867|814|192|6752|63|268|275|6|2015
8|Colorado Avalanche|COL|44|1626|1376|261|158|3671|28|178|148|3|2022
9|Columbus Blue Jackets|CBJ|23|748|797|33|179|1708|6|15|26|0|NULL
10|Dallas Stars|DAL|56|1949|1764|459|185|4542|35|198|194|1|1999
11|Detroit Red Wings|DET|97|3069|2658|815|206|7159|64|325|296|11|2008
12|Edmonton Oilers|EDM|44|1577|1399|262|183|3599|25|174|126|5|1990
13|Florida Panthers|FLA|30|1003|928|142|224|2372|9|38|47|0|NULL
14|Los Angeles Kings|LAK|56|1858|1884|424|190|4330|32|116|152|2|2014
15|Minnesota Wild|MIN|23|8665|656|55|176|1961|13|34|62|0|NULL
16|Montreal Canadiens|MTL|106|3536|2407|837|195|8104|85|440|321|23|1993
17|Nashville Predators|NSH|25|950|730|60|178|2138|15|54|71|0|NULL
18|New Jersey Devils|NJD|49|1624|1680|328|187|3763|24|142|129|24|2003|
19|New York Islanders|NYI|51|1777|1660|347|191|4092|28|174|145|4|1983
20|New York Rangers|NYR|97|2999|2766|808|173|6979|62|257|280|4|1994
21|Ottawa Senators|OTT|31|1052|1027|115|184|2403|16|72|79|0|NULL
22|Philadelphia Flyers|PHI|56|2147|1546|457|209|4960|40|231|218|2|1975
23|Pittsburgh Penguins|PIT|56|2000|1800|383|175|4558|37|212|186|5|2017
24|San Jose Sharks|SJS|32|1130|1017|121|194|2575|21|119|122|0|NULL
25|Seattle Kraken|SEA|3|81|88|0|20|182|1|7|7|0|NULL
26|St. Louis Blues|STL|566|2027|1715|432|186|4672|45|188|228|1|2019
27|Tampa Bay Lightning|TBL|31|1092|1010|112|169|2465|15|123|91|3|2021
28|Toronto Maple Leafs|TOR|106|3116|2877|783|196|7211|72|269|298|13|1967
29|Vancouver Canucks|VAN|53|1743|1821|391|179|4056|28|111|135|0|NULL
30|Vegas Golden Knights|VGK|7|283|152|0|45|611|5|54|34|1|2023
31|Washington Capitals|WSH|49|1791|1537|303|187|4072|32|140|161|1|2018
32|Winnipeg Jets|WPG|24|822|802|45|169|1858|7|17|31|0|NULL
